feature,horizon,IC_mean,RankIC_mean,IC_std,negative_IC_ratio,n_folds,n_samples_mean
amplitude,21,0.04020556270127454,0.03310433566556351,0.14371776270041425,0.5294117647058824,17,182.7058823529412
amplitude,30,0.015412183530765433,-0.00044939786703281163,0.147722515180473,0.5294117647058824,17,182.7058823529412
amplitude,45,-0.010810421571094833,-0.022453652287605298,0.16253440827203025,0.5882352941176471,17,182.7058823529412
amplitude,60,-0.0016708162571547544,-0.008436467313299417,0.17140482591221673,0.5,16,182.625
amplitude,90,0.0027965624607645886,-0.009312487965596132,0.18194192845158963,0.5,16,182.625
amplitude,120,-0.013903171934998126,-0.03427569136630816,0.21295601539110243,0.5,16,182.625
amplitude,180,-0.04067581259610043,-0.05983343869743572,0.2339929981209533,0.6,15,182.6
close_open_ret,1,-0.03465140074373908,-0.05765632561596038,0.07988653782483575,0.5882352941176471,17,182.7058823529412
close_open_ret,2,-0.015418126645945277,-0.028556077653385498,0.06113912369092407,0.5882352941176471,17,182.7058823529412
close_open_ret,3,-0.013311458394305607,-0.019849982092041505,0.05341316800459832,0.6470588235294118,17,182.7058823529412
close_open_ret,5,-0.010947161760635142,-0.03544611729894625,0.058410191674877814,0.47058823529411764,17,182.7058823529412
close_open_ret,7,-0.02666626376273469,-0.04119280093288619,0.060070490891455004,0.7647058823529411,17,182.7058823529412
close_open_ret,10,-0.027670204214506448,-0.037212434922296166,0.0465161141790822,0.5882352941176471,17,182.7058823529412
close_open_ret,14,-0.023723241960183078,-0.028093348658778928,0.05176766255060703,0.7058823529411765,17,182.7058823529412
close_open_ret,21,-0.03856794577986597,-0.03766453836669919,0.057796069504214814,0.7647058823529411,17,182.7058823529412
close_open_ret,30,-0.016692537490275734,-0.02337188523634718,0.0492826260626212,0.6470588235294118,17,182.7058823529412
close_open_ret,45,-0.029134258398713194,-0.03213238856126294,0.04469475304816489,0.7647058823529411,17,182.7058823529412
close_open_ret,60,-0.034639421914732085,-0.04772717516623137,0.0399996485817023,0.8125,16,182.625
close_open_ret,90,-0.04377139502391922,-0.05089846128355509,0.05749752984578046,0.875,16,182.625
close_open_ret,120,-0.04550130844306631,-0.05070880326285821,0.05802816534076663,0.8125,16,182.625
close_open_ret,180,-0.059111227944631424,-0.05987349100264203,0.07448933895896735,0.7333333333333333,15,182.6
cost-per-transaction,1,-0.028966818610404392,-0.03828920782221558,0.08268810559167894,0.7058823529411765,17,182.7058823529412
cost-per-transaction,2,-0.05436990691427894,-0.04320576987194392,0.11822063108758926,0.7647058823529411,17,182.7058823529412
cost-per-transaction,3,-0.06182489540303718,-0.06386624752377743,0.12504647575949532,0.7647058823529411,17,182.7058823529412
cost-per-transaction,5,-0.08516570520631196,-0.0882977668949208,0.15265486069906692,0.7647058823529411,17,182.7058823529412
