scope,strategy,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover
oos,quantile_asym_ls_L0.20_S0.10,0.3002472624514306,0.2001059696220417,0.10014129282938891,1.0084348518089632,0.062263696441906546,0.17944153360879883,-0.685462257167718,0.12719506407214048
oos,quantile_asym_ls_L0.20_S0.05,0.2502649240551042,0.2001059696220417,0.05015895443306252,1.1021428146974253,0.06646774314303494,0.21043500982815389,-0.6798682869890544,0.10299003322259136
oos,quantile_asym_ls_L0.20_S0.02,0.22024019780996115,0.2001059696220417,0.020134228187919462,1.2663090383939886,0.07343644607498034,0.2428040510478446,-0.6536926750856938,0.08305647840531562
oos,quantile_asym_ls_L0.10_S0.50,0.6001412928293889,0.10014129282938891,0.5,-0.800296516933656,-0.13023450734934883,-0.32726157792027366,-0.927411747676084,0.13526340768865686
oos,quantile_asym_ls_L0.10_S0.40,0.5001766160367361,0.10014129282938891,0.40003532320734725,-0.44295859670771265,-0.04941757823734638,-0.1323380518234177,-0.8289673135836911,0.14428096820123398
oos,quantile_asym_ls_L0.10_S0.30,0.4002119392440834,0.10014129282938891,0.30007064641469444,0.06597701595000749,0.005549392892284288,0.015927569609220055,-0.7408280953146655,0.15472235405790222
oos,quantile_asym_ls_L0.10_S0.20,0.3002472624514306,0.10014129282938891,0.2001059696220417,1.490100463968012,0.0822279273439761,0.25754817452616097,-0.6228405893790947,0.12339819648789749
oos,quantile_asym_ls_L0.10_S0.10,0.20028258565877782,0.10014129282938891,0.10014129282938891,2.047050108982999,0.10131545881915005,0.33926506860009203,-0.6051180201344147,0.10915994304698623
oos,quantile_asym_ls_L0.10_S0.05,0.15030024726245142,0.10014129282938891,0.05015895443306252,2.1892169600883116,0.10567405794765161,0.4036953543743218,-0.5224384024050948,0.08495491219743712
oos,quantile_asym_ls_L0.10_S0.02,0.12027552101730837,0.10014129282938891,0.020134228187919462,2.4382779188519965,0.11289894974483583,0.46003157396478905,-0.5119182352769376,0.06502135738016136
oos,quantile_asym_ls_L0.05_S0.50,0.5501589544330625,0.05015895443306252,0.5,-0.7058163400785186,-0.10055659481261137,-0.26474081692755325,-0.930700543458688,0.11248220218319886
